accessionNumber,accessionYear,systemNumber,objectType,_primaryTitle,_primaryPlace,_primaryMaker__name,_primaryMaker__association,_primaryDate,_primaryImageId,_sampleMaterial,_sampleTechnique,_sampleStyle,_currentLocation__displayName,_objectContentWarning,_imageContentWarning,filtered_date,century,_primaryPlace_cleaned,countries_place,country,place,technique_filtered,color,coordinates,latitude,longitude
414:694/A-1885,1885.0,O186290,figure,The Toper,Plymouth,plymouth porcelain factory,manufacturer,ca. 1770,2010ED5031,porcelain,painted,,"ceramics, room 139, the curtain foundation gallery",False,False,1770,18.0,plymouth,"plymouth, england",england,plymouth,painted,,"50.3714122, -4.1424451",50.3714122,-4.1424451
414:694-1885,1885.0,O186286,figure,The Toper,Plymouth,plymouth porcelain factory,manufacturer,ca. 1770,2010ED4949,porcelain,painted,,"ceramics, room 139, the curtain foundation gallery",False,False,1770,18.0,plymouth,"plymouth, england",england,plymouth,painted,,"50.3714122, -4.1424451",50.3714122,-4.1424451
414:690/A-1885,1885.0,O186276,figure,,Plymouth,plymouth porcelain factory,manufacturer,ca. 1770,2010ED8994,porcelain,painted,,"ceramics, room 139, the curtain foundation gallery",False,False,1770,18.0,plymouth,"plymouth, england",england,plymouth,painted,,"50.3714122, -4.1424451",50.3714122,-4.1424451
414:690-1885,1885.0,O186266,figure,,Plymouth,plymouth porcelain factory,manufacturer,ca. 1770,2010ED8820,porcelain,painted,,"ceramics, room 139, the curtain foundation gallery",False,False,1770,18.0,plymouth,"plymouth, england",england,plymouth,painted,,"50.3714122, -4.1424451",50.3714122,-4.1424451
201-1905,1905.0,O186078,bowl,,Jingdezhen,unknown,,18th century,2010EB8993,porcelain,painted,qing,"ceramics, room 137, the curtain foundation gallery",False,False,1700-1800,18.0,jingdezhen,"jingdezhen, china",china,jingdezhen,painted,,"29.3582395, 117.2735595",29.3582395,117.2735595
414:539-1885,1885.0,O185970,punch bowl,,Worcester,worcester porcelain factory,manufacturer,ca. 1775,2010ED1489,porcelain,transfer-printed,,"ceramics, room 139, the curtain foundation gallery",False,False,1775,18.0,worcester,"worcester, england",england,worcester,transfer-printed,,"52.1965281, -2.2095608",52.1965281,-2.2095608
414:672-1885,1885.0,O185824,goblet,,Worcester,worcester porcelain factory,manufacturer,ca. 1775,2010ED1188,porcelain,transfer-printed,,"ceramics, room 139, the curtain foundation gallery",False,False,1775,18.0,worcester,"worcester, england",england,worcester,transfer-printed,,"52.1965281, -2.2095608",52.1965281,-2.2095608
604&A-1903,1903.0,O185570,wine pot and lid,,Jingdezhen,unknown,,late 18th century-early 19th century,2010ED8356,porcelain,painted,qing,"ceramics, room 137, the curtain foundation gallery",False,False,1790-1810,18.0,jingdezhen,"jingdezhen, china",china,jingdezhen,painted,,"29.3582395, 117.2735595",29.3582395,117.2735595
414:500-1885,1885.0,O185393,dish,,Worcester,"hancock, robert",engraver,ca. 1760,2010ED0662,porcelain,transfer-printed,,"ceramics, room 139, the curtain foundation gallery",False,False,1760,18.0,worcester,"worcester, england",england,worcester,transfer-printed,,"52.1965281, -2.2095608",52.1965281,-2.2095608
4358&A-1901,1901.0,O185380,bowl and lid,,Jingdezhen,unknown,,1860-1900,2010EE0839,porcelain,painted,qing,"ceramics, room 137, the curtain foundation gallery",False,False,1860-1900,19.0,jingdezhen,"jingdezhen, china",china,jingdezhen,painted,,"29.3582395, 117.2735595",29.3582395,117.2735595
414:550-1885,1885.0,O185249,mug,,Worcester,"hancock, robert",engraver,1757,2010EC3830,porcelain,moulded,,"ceramics, room 139, the curtain foundation gallery",False,False,1757,18.0,worcester,"worcester, england",england,worcester,moulded,,"52.1965281, -2.2095608",52.1965281,-2.2095608
414:546-1885,1885.0,O185094,jug,,Worcester,"hancock, robert",engraver,ca. 1759-60,2010EC3858,porcelain,transfer-printed,,"ceramics, room 139, the curtain foundation gallery",False,False,1759-1760,18.0,worcester,"worcester, england",england,worcester,transfer-printed,,"52.1965281, -2.2095608",52.1965281,-2.2095608
414:93-1885,1885.0,O185093,finger bowl,,Worcester,worcester porcelain factory,manufacturer,ca. 1758,2010ED1190,porcelain,transfer-printed,,"ceramics, room 139, the curtain foundation gallery",False,False,1758,18.0,worcester,"worcester, england",england,worcester,transfer-printed,,"52.1965281, -2.2095608",52.1965281,-2.2095608
414:85/A-1885,1885.0,O185092,finger bowl stand,,Worcester,worcester porcelain factory,manufacturer,ca. 1758-60,2010ED1635,porcelain,transfer-printed,,"ceramics, room 139, the curtain foundation gallery",False,False,1758-1760,18.0,worcester,"worcester, england",england,worcester,transfer-printed,,"52.1965281, -2.2095608",52.1965281,-2.2095608
414:85-1885,1885.0,O185091,finger bowl stand,,Worcester,worcester porcelain factory,manufacturer,ca. 1758-60,2010EH1921,porcelain,transfer-printed,,"ceramics, room 139, the curtain foundation gallery",False,False,1758-1760,18.0,worcester,"worcester, england",england,worcester,transfer-printed,,"52.1965281, -2.2095608",52.1965281,-2.2095608
414:595/&A-1885,1885.0,O185020,teapot and cover,,Worcester,worcester porcelain factory,manufacturer,ca. 1780,2010ED2629,porcelain,painted,,"ceramics, room 139, the curtain foundation gallery",False,False,1780,18.0,worcester,"worcester, england",england,worcester,painted,,"52.1965281, -2.2095608",52.1965281,-2.2095608
